timestamp,strategy,market_id,token_id,side,price,size,usd_value,order_type,mode,order_id,status,reason
1774295433.613,copy_trading,0x1745319c9ef1e4c73b9c942fbb615990d05dfd9972b987419add5983dab62dc2,16449252860020742419157684558762238159994582638842050309886335182535976167658,BUY,0.390000,7.692308,3.0000,GTC,micro,0xb387387fca5e5ee25b15e4af46d67e30e62f290d6a2e12cf39af0946a546199d,live,Mirror Discovered:0x37c1874a… | target_price=0.390 | current_ask=0.390 | drift=0.0000
1774295436.422,copy_trading,0x1f380fbba6e68baa36a0f2fa2f0f09a9a4d6d3d3f23659560284d556dea130da,526358544338919753413971612082549721450292059535508650256648954503580763652,BUY,0.500000,6.000000,3.0000,GTC,micro,0xbd7957a27b385a6f29964da8d94f6b85e8264aa2152000502c7066f003429ea9,live,Mirror Discovered:0x37c1874a… | target_price=0.500 | current_ask=0.500 | drift=0.0000
1774295439.198,copy_trading,0xbc3bead64667cc7951dc72a288b100b0b2fb8d95f0e7dcfb58e2e26c05315bb0,58234333393360284106809291268277541119183997617305366384675287028820801008431,BUY,0.510000,5.882353,3.0000,GTC,micro,0x1cab77c541966ff1f64dc548011aa47b201661b9ab0a9c1777a6b97105840f36,live,Mirror Discovered:0x37c1874a… | target_price=0.510 | current_ask=0.510 | drift=0.0000
1774295535.873,copy_trading,0x404ea0647dc4bab8a51a5eb14b4d64540466b8840e70d606567e6587c9478ef8,61170155615588003962472495044737582543606481903216839335362404232174324558320,BUY,0.530000,5.660377,3.0000,GTC,micro,0x5130633705a0cd1a140c8273b667139b3c59762003e23fecb55b5edf512dd12b,live,Mirror Discovered:0x37c1874a… | target_price=0.530 | current_ask=0.530 | drift=0.0000
1774295655.259,copy_trading,0x79e9086d142a81844db06b0719a91237d96612a5a7d2c0f7f94827b873aafd3a,88535593944385169244485646662677948796182024571449829485224061645631536185561,BUY,0.460000,6.521739,3.0000,GTC,micro,0xc08b782bf1179944311a77747398b247582b019ec693113cf1c5cff5796c8ec4,live,Mirror Discovered:0x37c1874a… | target_price=0.460 | current_ask=0.460 | drift=0.0000
1774295774.130,copy_trading,0x9e5f2ffbcb7eef803288f65cdb2779889e8535d4bb67aee02d5a9fd796d9fae8,103325552653149933388345123480612218674588057252537745791847407554177123887300,BUY,0.110000,27.272727,3.0000,GTC,micro,0xe451c65efecfa8b71c4d7008c12126bde469a6855ae7ea8f4bd8b5f06134bf4b,live,Mirror Discovered:0xbddf61af… | target_price=0.110 | current_ask=0.110 | drift=0.0000
1774295802.975,copy_trading,0xf0489fe5699029f206b262c8d1d5d89f43f6b5de4d5748c4cc6d3f92dc8b5306,59397861871467663462279043259346067707920411068701971642282098127748099137496,BUY,0.510000,5.882353,3.0000,GTC,micro,0x71517378b0a55e6a248e4aa1fde4a2306fa08f0342de24600df47a191ba63a2b,live,Mirror Discovered:0x37c1874a… | target_price=0.510 | current_ask=0.510 | drift=0.0000
1774295901.246,copy_trading,0x404ea0647dc4bab8a51a5eb14b4d64540466b8840e70d606567e6587c9478ef8,72691946204873221068183391667942729430356923066022920858505930130187069347356,BUY,0.460000,6.521739,3.0000,GTC,micro,0xc41c0ecaa14e0885c92649b48544199b6c98c4134f2d6f249aabec6524697082,live,Mirror Discovered:0x37c1874a… | target_price=0.460 | current_ask=0.460 | drift=0.0000
1774295932.347,copy_trading,0x89389a6b1439856a8d366234c795d72865c927a1aa3cf9d4cc04a3a400defde1,58534831224432332845742394199681128700782343287162911891204466367752298448751,BUY,0.940000,5.000000,4.7000,GTC,micro,0x40b4a2ebaeea2255c27787081749d9d0bee4c3e097baad1d31c6635489170d0e,live,Mirror Discovered:0xf195721a… | target_price=0.940 | current_ask=0.940 | drift=0.0000
1774296100.316,copy_trading,0x404ea0647dc4bab8a51a5eb14b4d64540466b8840e70d606567e6587c9478ef8,72691946204873221068183391667942729430356923066022920858505930130187069347356,BUY,0.460000,6.521739,3.0000,GTC,micro,0x2d2f18c7aea45432ad0704fc6959a89646ab74f02bf6b411f0b7f272ff1a629a,live,Mirror Discovered:0x37c1874a… | target_price=0.460 | current_ask=0.460 | drift=0.0000
